"name","seat","start_date","end_date","reason_ended","short_reason"
"Thomas B. Marsh",1,"1835-04-25","1839-03-17","Excommunicated for apostasy","Excommunicated"
"Lyman Wight",1,"1841-04-08","1848-12-08","Excommunicated for apostasy","Excommunicated"
"Charles C. Rich",1,"1849-02-12","1883-11-17","Died","Died"
"John W. Taylor",1,"1884-05-15","1911-01-01","Excommunicated for polygamy","Excommunicated"
"Orson F. Whitney",1,"1906-04-09","1931-05-16","Died","Died"
"Charles A. Callis",1,"1933-10-12","1947-01-21","Died","Died"
"Delbert L. Stapley",1,"1950-10-05","1978-08-19","Died","Died"
"James E. Faust",1,"1978-10-01","2007-08-10","Died","Died"
"Quentin L. Cook",1,"2007-10-11","2014-11-10","Current","Current"
"David W. Patten",2,"1835-02-15","1838-10-25","Died","Died"
"Willard Richards",2,"1840-04-14","1854-03-11","Died","Died"
"Jedediah M. Grant",2,"1854-04-07","1856-12-01","Died","Died"
"Daniel H. Wells",2,"1857-10-06","1891-03-24","Died","Died"
"John Henry Smith",2,"1880-10-27","1911-10-13","Died","Died"
"James E. Talmage",2,"1911-12-08","1933-07-27","Died","Died"
"Alonzo A. Hinckley",2,"1934-10-11","1936-12-22","Died","Died"
"Sylvester Q. Cannon",2,"1938-04-06","1943-05-29","Died","Died"
"Ezra Taft Benson",2,"1943-10-07","1994-05-30","Died","Died"
"Jeffrey R. Holland",2,"1994-06-23","2014-11-10","Current","Current"
"Brigham Young",3,"1835-02-14","1877-08-29","Died","Died"
"Frances M. Lyman",3,"1880-10-27","1916-11-18","Died","Died"
"Stephen L. Richards",3,"1917-01-18","1959-05-19","Died","Died"
"Gordon B. Hinckley",3,"1961-10-05","2008-01-27","Died","Died"
"D. Todd Christofferson",3,"2008-04-10","2014-11-10","Current","Current"
"Heber C. Kimball",4,"1835-02-14","1868-06-22","Died","Died"
"Brigham Young, Jr.",4,"1864-02-04","1903-04-11","Died","Died"
"Charles W. Penrose",4,"1904-07-07","1925-05-16","Died","Died"
"Joseph F. Merrill",4,"1931-10-08","1952-02-03","Died","Died"
"Adam S. Bennion",4,"1953-04-09","1958-02-11","Died","Died"
"Howard W. Hunter",4,"1959-10-15","1995-03-03","Died","Died"
"Henry B. Eyring",4,"1995-04-01","2014-11-10","Current","Current"
"Orson Hyde",5,"1835-02-15","1878-11-28","Died","Died"
"George Teasdale",5,"1882-10-16","1907-06-09","Died","Died"
"Joseph Fielding Smith",5,"1910-04-07","1972-07-02","Died","Died"
"Bruce R. McConkie",5,"1972-10-12","1985-04-19","Died","Died"
"M. Russell Ballard",5,"1985-10-06","2014-11-10","Current","Current"
"William E. McLellin",6,"1835-02-15","1838-05-11","Excommunicated for apostasy","Excommunicated"
"George A. Smith",6,"1839-04-26","1875-09-01","Died","Died"
"Moses Thatcher",6,"1879-04-09","1896-04-06","Voted out","Excommunicated"
"Matthias F. Cowley",6,"1897-10-07","1905-10-28","Excommunicated for polygamy","Excommunicated"
"David O. McKay",6,"1906-04-09","1970-01-18","Died","Died"
"Boyd K. Packer",6,"1970-04-06","2014-11-10","Current","Current"
"Parley P. Pratt",7,"1835-02-21","1857-05-13","Died","Died"
"George Q. Cannon",7,"1860-08-26","1901-04-12","Died","Died"
"Hyrum M. Smith",7,"1901-10-24","1918-01-23","Died","Died"
